Вопрос;Эталонный ответ преподавателя;Ответ студента;Оценка
Примеры использования гистограммы;Гистограммы применяются для анализа распределения яркости в обработке изображений, контроля качества в производстве через анализ распределения параметров продукции;Использование гистограмм для визуального анализа данных в разных областях;2
Как специалисты анализируют данные в рамках big data?;Технологии big data позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Big data используется для обработки информации и улучшения решений.;3
Какие риски связаны с использованием нейронные сети в критически важных системах?;Нейронные сети помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Нейронные сети применяется в бизнесе и иногда в науке для анализа данных.;3
В чем преимущества применения NLP по сравнению с традиционными методами?;Nlp применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Nlp применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;4
Что такое Apache Spark SQL?;Модуль Spark для работы со структурированными данными с использованием SQL-подобного синтаксиса.;Возможность использовать SQL в Spark для работы с данными.;3
Какие способы визуализации корреляции были изучены в курсе Big Data?;Основные способы: корреляционная матрица, тепловая карта (heatmap), диаграмма рассеяния (scatter plot), графики зависимости и парные диаграммы (pairplot).;Используются scatter plot и матрица корреляции для визуализации.;3
Какие компании активно используют большие данные и зачем?;Большие данные применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;5
Как работает технология In-Memory Computing в современных СУБД?;Хранение и обработка данных в оперативной памяти вместо диска. Обеспечивает sub-millisecond latency для transactional и analytical workloads.;Работа с данными непосредственно в памяти. Дает экстремально низкую задержку для OLTP и OLAP систем, ускоряя выполнение запросов на порядки.;4
Свойства эластичности и надёжности сложных сетей;Эластичность - устойчивость к нагрузкам, надежность - отказоустойчивость. Зависит от структуры сети;Эластичность - как сеть держит нагрузку, надежность - как работает при отказах. Зависит от связей;3
Какие типы машинного обучения существуют?;Существует три типа машинного обучения: с учителем, без учителя и с подкреплением. Первый использует размеченные данные, второй — неразмеченные, третий — обучение через взаимодействие с средой.;Есть обучение с учителем и без учителя.;4
Каковы условия остановки ветвления дерева?;Условия остановки включают достижение максимальной глубины, минимального числа образцов в узле, отсутствие улучшения качества разбиения или достижение чистого узла.;Условия остановки включают максимальную глубину и минимальное число образцов в узле;5
Свойства описательных статистик;Меры центральной тенденции, меры изменчивости и показатели формы распределения данных;Меры центра, меры разброса и параметры формы распределения;4
Структуры и типы данных в R;Основные структуры данных в R включают векторы, матрицы, списки, data frames и factors, каждая с определенными свойствами и методами обработки;Векторы для атомарных данных, матрицы для таблиц чисел, списки для разнотипных данных, data frames для табличных данных;3
Какие риски связаны с применением data lakes?;Технологии data lakes позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Data lakes применяется в финансах, медицине, рекламе и IT, помогает анализировать данные и строить модели.;4
Какие методы использовать для обнаружения concept drift в ML моделей?;Statistical tests (KS test, PSI), monitoring performance metrics, drift detection algorithms (ADWIN, DDM), анализ распределения предсказаний и фактических значений.;Методы обнаружения когда модель устаревает из-за изменений в данных.;2
Архитектура хранилищ данных;Архитектура включает уровни сбора, обработки, хранения и анализа данных с использованием ETL-процессов, data lakes и витрин данных;Архитектура включает ETL-процессы и data lakes;5
Что такое Data Mining и какие задачи он решает?;Data Mining — интеллектуальный анализ данных, направленный на выявление скрытых закономерностей. Основные задачи: классификация, кластеризация, ассоциативные правила, прогнозирование.;Data Mining — анализ данных для поиска зависимостей.;4
Векторы, матрицы, фреймы и факторы в R. Сходство и различия, способы обработки.;Векторы и матрицы содержат данные одного типа, data.frame — разных типов, factor используется для категориальных данных. Обработка осуществляется функциями length(), dim(), apply(), summary().;Все объекты R одинаковые, нет разницы между вектором и матрицей.;2
Какие реальные примеры использования data lakes существуют?;Технологии data lakes позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Data lakes используется бизнесом для оптимизации процессов, анализа клиентов и прогнозирования.;4
В чем различия между R и Python для анализа данных?;R - специализирован для статистики и визуализации, богатые статистические пакеты. Python - универсальный, лучше для ML и production систем. R удобнее для исследований, Python - для промышленной разработки.;Два языка для работы с данными с разными возможностями.;2
Что такое 'регрессия' в машинном обучении?;Регрессия — это метод моделирования зависимости между зависимой переменной и одной или несколькими независимыми переменными.;Регрессия — это способ определить зависимость между двумя параметрами.;4
Какие риски связаны с использованием data mining в критически важных системах?;Data mining применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Data mining — это что-то про компьютеры. Применяется редко.;2
Что такое ETL-процессы и какие задачи оно решает?;Etl-процессы помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Etl-процессы применяется в бизнесе и иногда в науке для анализа данных.;3
Где применяется компьютерное зрение в промышленности и бизнесе?;Компьютерное зрение помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;4
Какие основные инструменты и технологии используются для работы с модели прогнозирования?;Модели прогнозирования применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Модели прогнозирования — это что-то про компьютеры. Применяется редко.;2
Какие реальные примеры использования обработка потоковых данных существуют?;Обработка потоковых данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Обработка потоковых данных применяется в финансах, медицине, рекламе и IT, помогает анализировать данные и строить модели.;4
Что такое reinforcement learning и где применяется?;Reinforcement learning - обучение с подкреплением, где агент учится через взаимодействие со средой, применяется в робототехнике, играх и рекомендательных системах;Обучение через взаимодействие;2
Виды связи между переменными при корреляции;Связи бывают положительные, отрицательные и нулевые.;Есть прямая и обратная зависимость, иногда её нет.;4
«Меры изменчивости»: что к ним относится?;К мерам изменчивости относятся дисперсия, стандартное отклонение, размах, межквартильный размах и среднее абсолютное отклонение;Основные меры изменчивости статистических данных;4
Разница описательных и предсказательных задач;Описательные анализируют текущие данные, предсказательные строят прогнозы на будущее;Описательные задачи анализируют историю, предсказательные строят модели;4
Почему технологии хранилища данных стали критически важны?;Хранилища данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Хранилища данных обеспечивает анализ потоковых данных, улучшает прогнозирование, помогает автоматизировать процессы и повышает точность аналитических моделей.;5
Нормальное распределение;Нормальное распределение характеризуется симметричной колоколообразной формой и определенными параметрами центра и dispersion;Симметричное распределение вероятностей;3
Что такое Apache Kafka;Apache Kafka — это распределенная потоковая платформа для обработки потоков данных в реальном времени. Состоит из производителей, потребителей, брокеров и тем.;Apache Kafka — это распределенная, горизонтально масштабируемая платформа потоковой обработки, которая функционирует как отказоустойчивый publish-subscribe messaging system, обеспечивающий обработку миллионов сообщений в секунду с гарантированной доставкой и сохранением порядка сообщений.;5
Что такое F1-score?;Гармоническое среднее между precision и recall.;Комбинированная метрика качества для задач классификации, учитывающая и точность, и полноту.;3
Метрики качества для компьютерного зрения;"Accuracy, Precision, Recall, F1-score для классификации; mAP, IoU для детекции; Dice coefficient для сегментации";Метрики для CV задач;2
С какими проблемами сталкиваются при применении рекомендательные системы, и как их решают?;Рекомендательные системы применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Рекомендательные системы нужно только программистам.;2
Что понимается под признаковым пространством (feature space)?;Признаковое пространство — это многомерное пространство, где каждая ось соответствует отдельному признаку, а каждая точка — объекту с набором характеристик.;Feature space — это многомерное пространство признаков, в котором описываются объекты.;4
Как обеспечить воспроизводимость экспериментов в ML и data science?;Version control для кода и данных, фиксация seed значений, контейнеризация (Docker), detailed logging, MLflow для отслеживания экспериментов.;Сохранять код, данные и параметры экспериментов, использовать одинаковое окружение и фиксировать случайные seed'ы.;3
Понятия репликации и шардинга для хранилищ данных.;Репликация — копирование данных между узлами для повышения отказоустойчивости. Шардинг — горизонтальное разделение данных на сегменты (shards) для масштабирования. Используются в NoSQL и распределённых СУБД.;Репликация и шардинг — это методы резервного копирования.;3
Какие реальные примеры использования in-memory обработка существуют?;In-memory обработка используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;In-memory обработка применяется в финансах, медицине, рекламе и IT, помогает анализировать данные и строить модели.;4
Мотивация происхождения NoSQL;Необходимость работы с неструктурированными данными и горизонтального масштабирования систем;Потребность в масштабируемости и гибкости схем данных;3
Что такое регуляризация в машинном обучении?;Регуляризация — это метод предотвращения переобучения за счёт добавления штрафа за сложность модели в функцию потерь (например, L1, L2).;Регуляризация помогает уменьшить переобучение, добавляя штраф за большие коэффициенты в модели.;5
Каковы факторы, влияющие на коэффициент корреляции?;Коэффициент корреляции зависит от линейности данных, наличия выбросов, дисперсии, размера выборки и точности измерений.;Коэффициент корреляции может меняться из-за выбросов, объема данных и нелинейной зависимости.;3
Какие риски связаны с применением масштабируемые системы?;Масштабируемые системы используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Масштабируемые системы почти нигде не применяется. Это просто большие таблицы.;2
Какие методы использовать для обнаружения concept drift в ML моделей?;Statistical tests (KS test, PSI), monitoring performance metrics, drift detection algorithms (ADWIN, DDM), анализ распределения предсказаний и фактических значений.;Статистические тесты распределений, мониторинг accuracy/precision/recall, алгоритмы детектирования дрейфа, анализ изменений в данных и предсказаниях модели.;4
Сравнительный анализ алгоритмов кластеризации;Алгоритмы кластеризации сравниваются по масштабируемости, чувствительности к шуму, способности находить кластеры сложной формы и вычислительной сложности;Сравнение разных методов кластеризации по их характеристикам и производительности;2
Как внедрение компьютерное зрение влияет на процессы в организациях?;Компьютерное зрение применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Помогает работать с данными и строить модели.;3
Что такое data versioning?;Контроль версий для наборов данных и их метаданных;Версионирование данных;2
Как организовать versioning для ML моделей в production?;Model registry, version metadata, A/B testing инфраструктура, rollback capabilities, dependency tracking, reproducibility guarantees.;Система управления версиями ML моделей с возможностью тестирования и отката.;3
Какие алгоритмы лежат в основе методов выделения сообществ? Дайте общее описание шагов выполнения этих алгоритмов.;Алгоритмы выделения сообществ включают методы модульности (Лувен, Ньюман-Гирван), спектральные методы и итерационные подходы. Основные шаги: построение графа, вычисление меры модульности Q, итеративное объединение или разбиение узлов до оптимума Q.;Методы выделения сообществ просто группируют узлы по количеству связей.;3
